scaffold,interaction_id,protein_id,protein_name,organism,domain_id,domain_name,target_label,target_variant_id,target_concept_id,target_gene_name_species,target_species_name,target_concept_gene_name,target_concept_protein_name,source,chunk_id
adnectin,INT-00308,PROT-01060,Tencon,Homo sapiens,TBP-01060,P114AR5P74-A5,c-Met,TVAR-00062,TGT-00051,c-Met,Homo sapiens,c-Met,P08581,interaction_cards_v2.jsonl,interaction-v2:INT-00308
adnectin,INT-00362,PROT-01117,Tencon,Homo sapiens,TBP-01117,P114AR7P94-A3,c-Met,TVAR-00062,TGT-00051,c-Met,Homo sapiens,c-Met,P08581,interaction_cards_v2.jsonl,interaction-v2:INT-00362
adnectin,INT-00311,PROT-01063,Tencon,,TBP-01063,CD8S369,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00311
adnectin,INT-00312,PROT-01064,Tencon27,,TBP-01064,P283AR9P1362_D6,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00312
adnectin,INT-00313,PROT-01065,Tencon27,,TBP-01065,CD8S369,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00313
adnectin,INT-00327,PROT-01079,Tencon,,TBP-01079,CD8S367,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00327
adnectin,INT-00328,PROT-01080,Tencon27,,TBP-01080,CD8S367,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00328
adnectin,INT-00329,PROT-01081,Tencon27,,TBP-01081,P282DR9P1359_F7,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00329
adnectin,INT-00332,PROT-01085,Tencon27,,TBP-01085,CD8S370,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00332
adnectin,INT-00333,PROT-01086,Tencon27,,TBP-01086,P282DR9P1359_G7,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00333
adnectin,INT-00341,PROT-01096,Tencon,,TBP-01096,CD8S365,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00341
adnectin,INT-00342,PROT-01097,Tencon27,,TBP-01097,P282ER9P1360_C8,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00342
adnectin,INT-00352,PROT-01107,Tencon,,TBP-01107,CD8S368,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00352
adnectin,INT-00353,PROT-01108,Tencon27,,TBP-01108,P282DR9P1359_F5,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00353
adnectin,INT-00354,PROT-01109,Tencon27,,TBP-01109,CD8S368,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00354
adnectin,INT-00365,PROT-01120,Tencon27,,TBP-01120,P282DR9P1359_C5,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00365
adnectin,INT-00366,PROT-01121,Tencon27,,TBP-01121,CD8S366,CD8A,TVAR-00064,TGT-00053,CD8A,Homo sapiens,CD8A,P01732,interaction_cards_v2.jsonl,interaction-v2:INT-00366
